Team,Year,W-L%,SRS,SOS,conference,Tm.,Opp.,conference_strength,avg_class_year,recent_win_pct
Villanova,Big East,36,4,0.900,25.43,10.21,14,4,16,1,20,3
Virginia,ACC,31,3,0.912,24.87,9.54,17,1,17,0,14,3
Duke,ACC,29,8,0.784,24.32,10.10,13,5,15,1,14,7
Michigan State,Big Ten,30,5,0.857,23.98,10.65,16,2,16,1,14,4
Purdue,Big Ten,30,7,0.811,23.65,10.87,15,3,16,1,14,6
Cincinnati,AAC,31,5,0.861,23.21,8.32,16,2,15,1,16,4
North Carolina,ACC,26,11,0.703,22.87,10.32,11,7,14,2,12,9
Kansas,Big 12,31,8,0.795,22.54,11.21,13,5,16,1,15,7
Xavier,Big East,29,6,0.829,22.21,9.87,15,3,16,1,13,5
Tennessee,SEC,26,9,0.743,21.87,9.65,13,5,15,2,11,7
Gonzaga,WCC,32,5,0.865,21.54,7.87,17,1,16,0,16,5
Auburn,SEC,26,8,0.765,21.21,9.32,13,5,15,1,11,7
Michigan,Big Ten,33,8,0.805,20.98,10.43,13,5,15,1,18,7
Texas Tech,Big 12,27,10,0.730,20.76,10.76,11,7,17,1,10,9
West Virginia,Big 12,26,11,0.703,20.43,11.10,11,7,15,2,11,9
Wichita State,AAC,25,8,0.758,20.10,8.65,14,4,15,1,10,7
Arizona,Pac-12,27,8,0.771,19.87,8.98,14,4,15,1,12,7
Kentucky,SEC,26,11,0.703,19.65,9.87,10,8,16,2,10,9
Ohio State,Big Ten,25,9,0.735,19.43,10.54,15,3,16,2,9,7
Clemson,ACC,25,10,0.714,19.21,9.76,11,7,15,1,10,9
Houston,AAC,27,8,0.771,19.10,8.43,14,4,15,0,12,8
TCU,Big 12,21,12,0.636,18.87,10.98,9,9,15,3,6,9
Florida,SEC,21,13,0.618,18.65,10.10,11,7,11,4,10,9
Texas A&M,SEC,22,13,0.629,18.43,9.98,9,9,14,3,8,10
Arkansas,SEC,23,12,0.657,18.21,9.76,10,8,15,2,8,10
Nevada,MWC,29,8,0.784,18.10,7.54,15,3,15,1,14,7
Butler,Big East,21,14,0.600,17.87,10.32,9,9,14,3,7,11
Florida State,ACC,23,12,0.657,17.65,9.98,9,9,14,2,9,10
Creighton,Big East,21,12,0.636,17.43,10.54,10,8,14,2,7,10
Missouri,SEC,20,13,0.606,17.21,10.21,10,8,12,4,8,9
Oklahoma,Big 12,18,14,0.563,17.10,11.32,8,10,12,4,6,10
Alabama,SEC,20,16,0.556,16.87,10.43,8,10,13,5,7,11
Seton Hall,Big East,22,12,0.647,16.65,10.10,10,8,15,2,7,10
Virginia Tech,ACC,21,12,0.636,16.43,9.87,10,8,13,3,8,9
Miami,ACC,22,10,0.688,16.21,9.65,11,7,14,2,8,8
Texas,Big 12,19,15,0.559,16.10,11.43,8,10,13,3,6,12
Providence,Big East,21,14,0.600,15.87,10.65,10,8,14,3,7,11
NC State,ACC,21,12,0.636,15.65,9.98,11,7,15,2,6,10
USC,Pac-12,24,12,0.667,15.43,8.76,12,6,16,2,8,10
St. Bonaventure,A-10,26,8,0.765,15.21,7.32,14,4,14,1,12,7
Rhode Island,A-10,26,8,0.765,15.10,7.10,15,3,15,1,11,7
Davidson,A-10,21,12,0.636,14.87,7.65,13,5,13,2,8,10
San Diego State,MWC,22,11,0.667,14.65,7.87,11,7,14,2,8,9
Murray State,OVC,26,6,0.813,14.43,5.32,16,2,14,1,12,5
New Mexico State,WAC,28,6,0.824,14.21,4.87,12,2,15,1,13,5
South Dakota State,Summit,28,7,0.800,14.10,4.65,13,1,14,0,14,7
Loyola Chicago,MVC,32,6,0.842,13.87,6.10,15,3,15,1,17,5
Buffalo,MAC,27,9,0.750,13.65,6.32,15,3,15,2,12,7
Montana,Big Sky,26,8,0.765,13.43,5.10,16,2,14,1,12,7
UNC Greensboro,SoCon,27,8,0.771,13.21,5.32,15,3,15,1,12,7
Marshall,CUSA,25,11,0.694,13.10,5.65,12,6,14,2,11,9
College of Charleston,CAA,26,8,0.765,12.87,5.87,14,4,14,1,12,7
Bucknell,Patriot,25,10,0.714,12.65,5.43,16,2,13,2,12,8
Wright State,Horizon,25,10,0.714,12.43,5.65,14,4,14,2,11,8
Iona,MAAC,20,14,0.588,12.21,6.10,11,7,11,3,9,11
Stephen F. Austin,Southland,28,7,0.800,12.10,4.32,14,4,15,1,13,6
Lipscomb,ASUN,23,10,0.697,11.87,4.87,10,4,12,2,11,8
Georgia State,Sun Belt,24,11,0.686,11.65,5.10,12,6,13,2,11,9
Cal State Fullerton,Big West,20,12,0.625,11.43,5.32,10,6,11,3,9,9
Pennsylvania,Ivy,24,9,0.727,11.21,5.65,12,2,13,2,11,7
Radford,Big South,23,13,0.639,11.10,4.98,12,6,12,3,11,10
Texas Southern,SWAC,16,20,0.444,10.87,5.21,12,6,8,7,8,13
