team,conference,wins,losses,win_pct,srs,sos,conf_wins,conf_losses,home_wins,home_losses,away_wins,away_losses
Gonzaga,WCC,31,1,0.969,26.03,9.12,15,0,15,0,16,1
Baylor,Big 12,28,2,0.933,24.87,10.65,13,1,11,1,17,1
Illinois,Big Ten,24,7,0.774,23.45,11.23,16,4,9,1,15,6
Michigan,Big Ten,23,5,0.821,22.98,10.87,14,3,14,1,9,4
Iowa,Big Ten,22,9,0.710,22.65,11.54,14,6,13,1,9,8
Houston,AAC,28,4,0.875,22.32,8.32,14,3,15,0,13,4
Alabama,SEC,26,7,0.788,21.87,9.65,16,2,13,1,13,6
Ohio State,Big Ten,21,10,0.677,21.54,11.76,12,8,13,1,8,9
Florida State,ACC,18,7,0.720,21.21,9.87,11,4,11,2,7,5
Arkansas,SEC,25,7,0.781,20.98,9.32,13,4,16,1,9,6
Loyola Chicago,MVC,26,5,0.839,20.76,6.54,16,2,12,1,14,4
Villanova,Big East,18,7,0.720,20.43,10.21,11,4,8,2,10,5
Purdue,Big Ten,18,10,0.643,20.10,11.32,13,6,11,1,7,9
Texas,Big 12,19,8,0.704,19.87,10.54,11,6,13,0,6,8
Kansas,Big 12,21,9,0.700,19.65,10.76,12,6,12,1,9,8
West Virginia,Big 12,19,10,0.655,19.43,10.98,11,6,11,1,8,9
Virginia,ACC,18,7,0.720,19.21,9.65,13,4,10,1,8,6
Oklahoma State,Big Ten,21,9,0.700,19.10,10.43,11,7,12,2,9,7
USC,Pac-12,25,8,0.758,18.87,8.76,15,5,13,1,12,7
Creighton,Big East,22,9,0.710,18.65,9.98,14,6,13,1,9,8
Tennessee,SEC,18,9,0.667,18.43,9.54,10,7,13,2,5,7
BYU,WCC,20,7,0.741,18.21,8.32,10,3,13,1,7,6
San Diego State,MWC,23,5,0.821,18.10,7.21,14,3,15,0,8,5
Wisconsin,Big Ten,18,13,0.581,17.87,11.43,10,10,12,2,6,11
Colorado,Pac-12,23,9,0.719,17.65,8.54,14,6,13,1,10,8
LSU,SEC,19,10,0.655,17.43,9.76,11,6,10,3,9,7
Oregon,Pac-12,21,7,0.750,17.21,8.87,14,4,11,1,10,6
Florida,SEC,15,10,0.600,17.10,9.87,9,7,9,2,6,8
Oklahoma,Big 12,16,11,0.593,16.87,10.65,9,8,8,4,8,7
Connecticut,Big East,15,8,0.652,16.65,10.10,11,6,8,1,7,7
Maryland,Big Ten,17,14,0.548,16.43,11.65,9,11,10,3,7,11
Clemson,ACC,16,8,0.667,16.21,9.76,10,6,11,1,5,7
UCLA,Pac-12,22,10,0.688,16.10,8.98,13,6,11,2,11,8
Virginia Tech,ACC,15,7,0.682,15.87,9.54,9,4,9,1,6,6
Texas Tech,Big 12,18,11,0.621,15.65,10.87,9,8,13,0,5,11
North Carolina,ACC,18,11,0.621,15.43,9.87,10,6,10,1,8,10
Rutgers,Big Ten,16,12,0.571,15.21,11.54,10,10,10,3,6,9
Syracuse,ACC,18,10,0.643,15.10,9.65,9,7,13,1,5,9
St. Bonaventure,A-10,16,5,0.762,14.87,7.32,11,4,7,1,9,4
Georgia Tech,ACC,17,9,0.654,14.65,9.43,11,6,11,1,6,8
Oregon State,Pac-12,20,13,0.606,14.43,8.76,10,10,11,4,9,9
Winthrop,Big South,23,2,0.920,14.21,4.32,17,1,13,0,10,2
UC Santa Barbara,Big West,22,5,0.815,14.10,5.21,13,4,10,1,12,4
Abilene Christian,Southland,24,5,0.828,13.87,3.87,13,2,13,1,11,4
Liberty,ASUN,23,6,0.793,13.65,4.10,11,2,13,1,10,5
UNC Greensboro,SoCon,21,9,0.700,13.43,5.32,13,5,11,2,10,7
Morehead State,OVC,23,8,0.742,13.21,4.87,17,3,12,1,11,7
Eastern Washington,Big Sky,16,8,0.667,13.10,4.65,12,3,8,1,8,7
Colgate,Patriot,14,2,0.875,12.87,3.98,11,1,7,1,7,1
Drexel,CAA,12,8,0.600,12.65,5.43,6,5,7,2,5,6
Cleveland State,Horizon,19,8,0.704,12.43,4.76,16,4,11,1,8,7
Oral Roberts,Summit,18,11,0.621,12.21,4.32,10,5,9,3,9,8
Grand Canyon,WAC,17,7,0.708,12.10,4.10,9,3,11,1,6,6
Iona,MAAC,12,6,0.667,11.87,5.21,6,3,6,1,6,5
Hartford,AEC,15,9,0.625,11.65,4.87,8,6,8,2,7,7
Mount St. Mary's,NEC,12,11,0.522,11.43,5.10,9,7,7,2,5,9
Appalachian State,Sun Belt,17,12,0.586,11.21,5.32,7,8,10,3,7,9
Norfolk State,MEAC,17,8,0.680,11.10,3.76,8,4,9,1,8,7
Texas Southern,SWAC,17,9,0.654,10.87,3.54,10,3,8,2,9,7
