Team,Year,W-L%,SRS,SOS,conference,Tm.,Opp.,conference_strength,avg_class_year,recent_win_pct
Alabama,2023,0.85,25.2,10.1,SEC,82.0,68.3,0.85,2.8,0.9
Texas A&M-CC,2023,0.65,5.2,2.1,Southland,75.2,70.1,0.45,2.5,0.7
Maryland,2023,0.72,15.8,8.5,Big Ten,70.1,63.5,0.75,3.1,0.8
West Virginia,2023,0.68,14.2,9.8,Big 12,76.2,70.4,0.78,2.9,0.65
San Diego State,2023,0.78,18.5,7.2,Mountain West,71.2,63.1,0.68,3.2,0.85
Charleston,2023,0.82,12.1,3.5,CAA,80.1,70.2,0.52,2.7,0.9
Virginia,2023,0.75,16.8,8.9,ACC,67.8,60.2,0.76,3.0,0.7
Furman,2023,0.8,14.2,4.1,Southern,77.5,67.8,0.55,3.3,0.85
Creighton,2023,0.73,19.5,9.2,Big East,76.4,68.5,0.77,2.9,0.75
NC State,2023,0.65,12.8,8.5,ACC,72.7,70.8,0.76,2.6,0.6
Baylor,2023,0.71,18.9,9.8,Big 12,77.0,70.2,0.78,2.7,0.65
UC Santa Barbara,2023,0.7,10.5,3.2,Big West,71.5,65.8,0.5,3.0,0.75
Missouri,2023,0.68,15.2,9.1,SEC,78.9,74.5,0.85,2.8,0.6
Utah State,2023,0.75,16.8,6.5,Mountain West,78.2,69.5,0.68,3.1,0.8
Arizona,2023,0.8,22.5,9.2,Pac-12,81.9,71.2,0.72,2.5,0.85
Princeton,2023,0.75,12.8,4.5,Ivy,72.5,67.8,0.58,3.2,0.8
Purdue,2023,0.82,24.5,9.8,Big Ten,72.7,62.5,0.75,2.9,0.85
Fairleigh Dickinson,2023,0.58,2.5,1.2,Northeast,77.8,75.2,0.42,2.3,0.6
Memphis,2023,0.72,17.8,8.1,American,79.5,71.8,0.65,2.7,0.75
Florida Atlantic,2023,0.85,18.2,5.5,C-USA,77.8,65.5,0.6,3.0,0.9
Duke,2023,0.75,20.5,9.2,ACC,72.0,63.5,0.76,2.2,0.8
Oral Roberts,2023,0.78,12.5,3.8,Summit,83.3,74.2,0.48,2.8,0.85
Tennessee,2023,0.72,21.2,9.5,SEC,70.8,57.9,0.85,3.1,0.65
Louisiana,2023,0.75,11.8,4.2,Sun Belt,77.5,70.2,0.53,2.9,0.8
Kentucky,2023,0.68,17.5,9.2,SEC,74.5,67.8,0.85,2.4,0.7
Providence,2023,0.7,15.8,8.5,Big East,73.5,69.2,0.77,3.2,0.65
Kansas State,2023,0.72,18.2,9.5,Big 12,75.2,69.5,0.78,2.8,0.75
Montana State,2023,0.75,10.5,3.2,Big Sky,73.8,67.2,0.47,3.0,0.8
Michigan State,2023,0.68,16.5,9.2,Big Ten,70.2,67.1,0.75,3.1,0.65
USC,2023,0.65,14.8,8.5,Pac-12,72.0,68.5,0.72,2.7,0.6
Marquette,2023,0.78,21.5,8.8,Big East,79.3,70.5,0.77,2.9,0.85
Vermont,2023,0.8,13.5,3.5,America East,72.5,63.8,0.51,3.3,0.85
Houston,2023,0.88,25.8,9.2,American,74.7,57.5,0.65,3.0,0.9
Northern Kentucky,2023,0.65,8.5,2.8,Horizon,67.5,63.2,0.49,2.8,0.7
Iowa,2023,0.68,17.2,9.5,Big Ten,80.1,74.0,0.75,2.9,0.65
Auburn,2023,0.7,16.8,8.8,SEC,72.8,67.5,0.85,2.6,0.7
Miami,2023,0.75,18.5,9.2,ACC,79.6,71.5,0.76,3.1,0.8
Drake,2023,0.78,15.2,5.5,Missouri Valley,74.8,63.5,0.57,3.2,0.85
Indiana,2023,0.65,15.8,9.5,Big Ten,74.5,69.5,0.75,2.8,0.6
Kent State,2023,0.72,12.8,5.2,MAC,72.5,65.8,0.54,3.0,0.75
Iowa State,2023,0.68,17.5,9.8,Big 12,67.5,62.5,0.78,2.9,0.65
Pittsburgh,2023,0.65,15.2,9.2,ACC,75.2,70.5,0.76,2.7,0.6
Xavier,2023,0.72,19.2,8.8,Big East,80.5,74.2,0.77,2.8,0.75
Kennesaw State,2023,0.7,10.2,3.5,ASUN,74.8,68.5,0.48,2.9,0.75
Texas A&M,2023,0.75,19.5,9.2,SEC,72.8,66.5,0.85,3.0,0.8
Penn State,2023,0.65,16.2,9.5,Big Ten,72.2,68.5,0.75,3.1,0.6
Texas,2023,0.78,22.5,9.8,Big 12,77.8,67.5,0.78,2.9,0.85
Colgate,2023,0.75,11.5,3.2,Patriot,78.5,69.8,0.5,3.2,0.8
Kansas,2023,0.82,24.8,9.8,Big 12,75.4,67.9,0.78,2.8,0.85
Howard,2023,0.65,7.5,2.5,MEAC,74.5,71.2,0.45,2.7,0.7
Arkansas,2023,0.7,17.5,9.2,SEC,74.1,67.9,0.85,2.5,0.75
Illinois,2023,0.68,16.8,9.5,Big Ten,74.3,67.2,0.75,2.8,0.65
Saint Mary's,2023,0.75,19.2,7.5,WCC,70.2,60.5,0.63,3.2,0.8
VCU,2023,0.72,15.5,7.2,Atlantic 10,68.5,61.2,0.61,2.9,0.75
UConn,2023,0.78,23.5,9.2,Big East,78.5,64.2,0.77,3.0,0.85
Iona,2023,0.75,12.5,4.2,MAAC,75.8,65.5,0.52,3.1,0.8
TCU,2023,0.7,17.8,9.8,Big 12,75.2,68.5,0.78,2.8,0.7
Arizona State,2023,0.65,14.5,8.8,Pac-12,71.5,67.8,0.72,2.7,0.6
Gonzaga,2023,0.82,24.2,8.5,WCC,86.8,73.9,0.63,3.0,0.85
Grand Canyon,2023,0.7,11.2,3.8,WAC,75.2,67.5,0.49,2.8,0.75
Northwestern,2023,0.7,16.5,9.2,Big Ten,67.7,62.8,0.75,3.1,0.7
Boise State,2023,0.72,15.8,7.2,Mountain West,72.2,64.5,0.68,2.9,0.75
UCLA,2023,0.78,22.8,9.5,Pac-12,73.2,60.1,0.72,3.0,0.85
UNC Asheville,2023,0.72,10.5,3.2,Big South,74.5,67.8,0.47,2.8,0.75
