year,region,round,team1,seed1,score1,team2,seed2,score2,winner
2021,West,First Round,Gonzaga,1,98,Norfolk State,16,55,Gonzaga
2021,West,First Round,Oklahoma,8,72,Missouri,9,68,Oklahoma
2021,West,First Round,Creighton,5,63,UC Santa Barbara,12,62,Creighton
2021,West,First Round,Virginia,4,58,Ohio,13,62,Ohio
2021,West,First Round,USC,6,72,Drake,11,56,USC
2021,West,First Round,Kansas,3,93,Eastern Washington,14,84,Kansas
2021,West,First Round,Oregon,7,95,VCU,10,0,Oregon
2021,West,First Round,Iowa,2,86,Grand Canyon,15,74,Iowa
2021,West,Second Round,Gonzaga,1,87,Oklahoma,8,71,Gonzaga
2021,West,Second Round,Creighton,5,72,Ohio,13,58,Creighton
2021,West,Second Round,USC,6,85,Kansas,3,51,USC
2021,West,Second Round,Oregon,7,80,Iowa,2,95,Iowa
2021,West,Sweet 16,Gonzaga,1,83,Creighton,5,65,Gonzaga
2021,West,Sweet 16,USC,6,66,Iowa,2,85,USC
2021,West,Elite 8,Gonzaga,1,85,USC,6,66,Gonzaga
2021,East,First Round,Michigan,1,82,Texas Southern,16,66,Michigan
2021,East,First Round,LSU,8,76,St. Bonaventure,9,61,LSU
2021,East,First Round,Colorado,5,96,Georgetown,12,73,Colorado
2021,East,First Round,Florida State,4,64,UNC Greensboro,13,54,Florida State
2021,East,First Round,BYU,6,62,UCLA,11,73,UCLA
2021,East,First Round,Texas,3,52,Abilene Christian,14,53,Abilene Christian
2021,East,First Round,UConn,7,54,Maryland,10,63,Maryland
2021,East,First Round,Alabama,2,68,Iona,15,55,Alabama
2021,East,Second Round,Michigan,1,86,LSU,8,78,Michigan
2021,East,Second Round,Colorado,5,53,Florida State,4,71,Florida State
2021,East,Second Round,UCLA,11,67,Abilene Christian,14,47,UCLA
2021,East,Second Round,Maryland,10,77,Alabama,2,96,Alabama
2021,East,Sweet 16,Michigan,1,58,Florida State,4,76,Michigan
2021,East,Sweet 16,UCLA,11,88,Alabama,2,78,UCLA
2021,East,Elite 8,Michigan,1,49,UCLA,11,51,UCLA
2021,South,First Round,Baylor,1,79,Hartford,16,55,Baylor
2021,South,First Round,North Carolina,8,85,Wisconsin,9,62,Wisconsin
2021,South,First Round,Villanova,5,73,Winthrop,12,63,Villanova
2021,South,First Round,Purdue,4,69,North Texas,13,78,North Texas
2021,South,First Round,Texas Tech,6,65,Utah State,11,53,Texas Tech
2021,South,First Round,Arkansas,3,85,Colgate,14,68,Arkansas
2021,South,First Round,Florida,7,75,Virginia Tech,10,70,Florida
2021,South,First Round,Ohio State,2,72,Oral Roberts,15,75,Oral Roberts
2021,South,Second Round,Baylor,1,76,Wisconsin,9,63,Baylor
2021,South,Second Round,Villanova,5,84,North Texas,13,61,Villanova
2021,South,Second Round,Texas Tech,6,66,Arkansas,3,68,Arkansas
2021,South,Second Round,Florida,7,78,Oral Roberts,15,81,Oral Roberts
2021,South,Sweet 16,Baylor,1,62,Villanova,5,51,Baylor
2021,South,Sweet 16,Arkansas,3,72,Oral Roberts,15,70,Arkansas
2021,South,Elite 8,Baylor,1,81,Arkansas,3,72,Baylor
2021,Midwest,First Round,Illinois,1,78,Drexel,16,49,Illinois
2021,Midwest,First Round,Loyola Chicago,8,71,Georgia Tech,9,60,Loyola Chicago
2021,Midwest,First Round,Oregon State,12,70,Tennessee,5,56,Oregon State
2021,Midwest,First Round,Oklahoma State,4,69,Liberty,13,60,Oklahoma State
2021,Midwest,First Round,San Diego State,6,62,Syracuse,11,78,Syracuse
2021,Midwest,First Round,West Virginia,3,84,Morehead State,14,67,West Virginia
2021,Midwest,First Round,Clemson,7,56,Rutgers,10,60,Rutgers
2021,Midwest,First Round,Houston,2,87,Cleveland State,15,56,Houston
2021,Midwest,Second Round,Illinois,1,58,Loyola Chicago,8,71,Loyola Chicago
2021,Midwest,Second Round,Oregon State,12,80,Oklahoma State,4,70,Oregon State
2021,Midwest,Second Round,Syracuse,11,75,West Virginia,3,72,Syracuse
2021,Midwest,Second Round,Rutgers,10,60,Houston,2,63,Houston
2021,Midwest,Sweet 16,Loyola Chicago,8,58,Oregon State,12,65,Oregon State
2021,Midwest,Sweet 16,Syracuse,11,46,Houston,2,62,Houston
2021,Midwest,Elite 8,Oregon State,12,61,Houston,2,67,Houston
2021,Final Four,Final Four,Gonzaga,1,93,UCLA,11,90,Gonzaga
2021,Final Four,Final Four,Baylor,1,78,Houston,2,59,Baylor
2021,Final Four,Championship,Gonzaga,1,70,Baylor,1,86,Baylor
